Front,Back,Extra,Tags
"A manufacturing company wants to automate invoice processing, quality control inspections, and supply chain optimization. Invoices are scanned PDFs, inspections require image analysis, and optimization needs real-time data. Which AI agent strategy best addresses these varied requirements?<br><br>A) Single autonomous agent handling all three tasks<br>B) Multi-agent orchestration with specialized agents per task<br>C) Prompt and response agent with manual task switching","B) Multi-agent orchestration with specialized agents per task","Multi-agent orchestration enables specialized agents (document extraction, computer vision, analytics) to collaborate on complex workflows with domain-specific optimization. Single agents lack specialization for varied data types. Prompt/response agents require manual orchestration unsuitable for automation.<br><br>Reference: <a href=""https://learn.microsoft.com/microsoft-copilot-studio/fundamentals-agents"">Multi-agent orchestration</a>",AB-100 Planning AgentStrategy
"Your organization has 50TB of historical customer interaction data requiring cleaning, validation, and enrichment before use for agent grounding. Data contains inconsistencies and missing fields. Which data preparation approach ensures agent accuracy?<br><br>A) Use raw data directly with agent data cleaning<br>B) Implement ETL pipeline cleaning, validating, and standardizing before grounding<br>C) Manual review of all 50TB records","B) Implement ETL pipeline cleaning, validating, and standardizing before grounding","ETL pipelines systematically clean, validate, standardize, and enrich data ensuring high-quality agent grounding with accurate, consistent responses. Raw data causes agent hallucinations and errors. Manual review of 50TB doesn't scale.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/architecture/data-guide/big-data/data-preparation"">Data preparation for AI</a>",AB-100 Planning DataPreparation
"A retail organization wants to implement AI agents but needs to justify the investment. Leadership requires demonstrating ROI before committing budget. Which analysis approach quantifies the AI solution value?<br><br>A) Qualitative benefit descriptions without metrics<br>B) ROI analysis comparing total cost of ownership with measurable business outcomes<br>C) Competitive analysis of AI adoption","B) ROI analysis comparing total cost of ownership with measurable business outcomes","ROI analysis quantifies costs (licensing, development, infrastructure) against measurable benefits (time savings, error reduction, revenue increase) providing financial justification. Qualitative descriptions lack quantification. Competitive analysis doesn't demonstrate organizational ROI.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/cloud-adoption-framework/strategy/business-outcomes/"">Business outcomes framework</a>",AB-100 Planning ROIAnalysis
"Your company needs an AI solution for customer service. You must evaluate whether to build custom agents, extend Microsoft 365 Copilot, or use prebuilt Dynamics 365 agents. Which factors determine the build-vs-buy decision?<br><br>A) Cost only without considering capabilities<br>B) Customization needs, time-to-market, maintenance overhead, and total cost of ownership<br>C) Always build custom for maximum control","B) Customization needs, time-to-market, maintenance overhead, and total cost of ownership","Build-vs-buy analysis considers customization requirements balanced with development/maintenance costs and time-to-market. Prebuilt agents accelerate deployment for standard scenarios; custom agents justify complex unique requirements. Cost-only or always-build approaches miss critical trade-offs.<br><br>Reference: <a href=""https://learn.microsoft.com/dynamics365/customer-service/copilot-overview"">Dynamics 365 Copilot agents</a>",AB-100 Planning BuildVsBuy
"An organization implements the Cloud Adoption Framework for AI. The strategy phase requires defining how AI integrates across business processes. Which framework element provides this AI integration guidance?<br><br>A) Random AI experimentation without framework<br>B) AI adoption process with business outcomes, governance, and organizational alignment<br>C) Technology-first approach ignoring business strategy","B) AI adoption process with business outcomes, governance, and organizational alignment","Cloud Adoption Framework AI adoption process aligns AI strategy with business outcomes, establishes governance, defines organizational readiness, and integrates AI systematically. Random experimentation wastes resources. Technology-first approaches lack business value alignment.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/cloud-adoption-framework/innovate/ai/ai-adoption-framework"">AI Cloud Adoption Framework</a>",AB-100 Planning CloudAdoptionFramework
"Your solution requires multiple AI capabilities: document understanding, conversational interactions, and visual inspection. Budget constraints require optimizing model costs. Which strategy balances capability with cost efficiency?<br><br>A) Use most expensive model for all tasks<br>B) Implement model router directing requests to optimal models by task complexity<br>C) Use cheapest model for all tasks regardless of quality","B) Implement model router directing requests to optimal models by task complexity","Model routers intelligently route requests to appropriate models based on complexity and cost, using smaller models for simple tasks and advanced models for complex scenarios, optimizing cost-performance trade-off. Single-model approaches miss optimization opportunities.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/ai-services/openai/how-to/model-router"">Model routing strategies</a>",AB-100 Planning ModelRouter
"A company wants AI agents accessing Dataverse, SharePoint, and SAP systems. The solution needs unified data access for grounding without manual data synchronization. Which architecture pattern enables this cross-system data availability?<br><br>A) Manual data copying between systems<br>B) Virtual data integration with connectors and real-time access<br>C) Isolated agents per data source","B) Virtual data integration with connectors and real-time access","Virtual data integration using connectors enables agents to access multiple systems in real-time without data duplication, ensuring current data and reducing synchronization overhead. Data copying creates inconsistency and lag. Isolated agents fragment user experience.<br><br>Reference: <a href=""https://learn.microsoft.com/power-platform/admin/wp-onpremises-gateway"">Data integration patterns</a>",AB-100 Planning DataIntegration
"Your organization develops a prompt library for consistent AI interactions across teams. The library must support versioning, access control, and reuse. Which implementation approach manages this enterprise prompt library?<br><br>A) Shared Word document with prompts<br>B) Centralized prompt repository with version control, categorization, and governance<br>C) Individual team prompt storage without sharing","B) Centralized prompt repository with version control, categorization, and governance","Centralized prompt repositories enable versioning, access control, categorization by use case, and enterprise-wide sharing ensuring consistency and quality. Document-based approaches lack governance. Isolated storage prevents reuse and creates inconsistency.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/ai-studio/how-to/prompt-flow"">Prompt management best practices</a>",AB-100 Planning PromptLibrary
"A financial services firm requires AI agents to use domain-specific terminology and compact models for latency-sensitive scenarios. Which approach addresses these specialized language requirements?<br><br>A) Generic large language models without customization<br>B) Customized small language models fine-tuned on domain data<br>C) Rule-based systems without AI","B) Customized small language models fine-tuned on domain data","Small language models (SLMs) fine-tuned on domain-specific data provide industry terminology understanding with lower latency and cost compared to large models. Generic models lack domain precision. Rule-based systems can't handle natural language variability.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/ai-studio/how-to/fine-tune"">Fine-tuning language models</a>",AB-100 Planning SmallLanguageModels
"Your organization establishes an AI Center of Excellence to govern AI initiatives. The center must balance innovation with risk management. Which elements should this governance body include?<br><br>A) Technical team only without business representation<br>B) Cross-functional team covering strategy, ethics, security, compliance, and business value<br>C) Single person making all AI decisions","B) Cross-functional team covering strategy, ethics, security, compliance, and business value","AI Centers of Excellence require cross-functional representation ensuring technical excellence, ethical AI practices, security compliance, and business value alignment. Technical-only teams miss business context. Single-person governance lacks diverse perspectives and scalability.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/cloud-adoption-framework/organize/cloud-center-of-excellence"">Center of Excellence organization</a>",AB-100 Planning AICoE
