Front,Back,Extra,Tags
"A software development team needs to track work items with custom fields for sprint planning, priority levels, and dependencies between tasks. The solution must integrate with code commits and pull requests.<br><br>A) GitHub Issues with labels and milestones<br>B) GitHub Projects with custom fields and issue linking<br>C) Third-party project management tool","B) GitHub Projects with custom fields and issue linking","GitHub Projects (Projects v2) supports custom fields for any metadata, links to issues/PRs automatically, and provides views (board, table, roadmap). Issues with labels lack custom fields flexibility. Third-party tools lose native GitHub integration. Projects v2 is GitHub's native project management with full customization.","GH-300 ProjectManagement CustomFields"
"Your company requires that all commit messages follow Conventional Commits format (type: description) with automatic enforcement blocking non-compliant commits.<br><br>A) GitHub Actions with commitlint validation on pull requests<br>B) Git hooks on developer workstations<br>C) Manual code review of commit messages","A) GitHub Actions with commitlint validation on pull requests","GitHub Actions with commitlint runs on PR events, validates commit message format, and blocks merge via status checks. Git hooks are client-side only (bypassable). Manual review doesn't scale and is error-prone. Server-side validation provides enforceable commit message standards.","GH-300 Governance CommitStandards"
"A GitHub repository contains a monorepo with 20 services. Pull requests should automatically be assigned to code owners based on the files changed, preventing merge without owner approval.<br><br>A) CODEOWNERS file with path patterns and branch protection requiring owner review<br>B) Manual PR assignment<br>C) GitHub Actions workflow for assignment","A) CODEOWNERS file with path patterns and branch protection requiring owner review","CODEOWNERS file maps paths to teams/users, automatically requests reviews when files change, branch protection enforces owner approval. Manual assignment doesn't scale. Actions can assign but don't natively integrate with branch protection. CODEOWNERS is the native ownership and review routing mechanism.","GH-300 Governance CodeOwnership"
"A development workflow requires that feature branches be automatically deleted after pull request merge to prevent repository clutter, but release branches must be preserved.<br><br>A) Repository settings for automatic branch deletion with protected branch exclusions<br>B) Manual branch cleanup<br>C) GitHub Actions workflow deleting all branches","A) Repository settings for automatic branch deletion with protected branch exclusions","Repository auto-delete merged branches setting preserves protected branches automatically. Manual cleanup doesn't scale and is forgotten. Workflow-based deletion lacks built-in protected branch awareness. Native auto-delete respects protection rules and reduces clutter.","GH-300 RepositoryManagement BranchManagement"
"Your organization needs to measure code review effectiveness: time to first review, number of review rounds, and reviewer participation across 200 repositories.<br><br>A) GitHub GraphQL API querying pull request review timeline and aggregating metrics<br>B) Manual tracking in spreadsheets<br>C) GitHub Insights dashboard only","A) GitHub GraphQL API querying pull request review timeline and aggregating metrics","GraphQL API provides detailed PR timeline data (reviewRequestedAt, reviewedAt, review counts) for custom analytics. Manual tracking doesn't scale. Insights provides some metrics but GraphQL enables custom KPIs. API access allows building tailored code review analytics dashboards.","GH-300 Analytics CodeReview"
"A GitHub Actions workflow must build and test code triggered by pull_request events, but certain paths (/docs, README.md) should not trigger expensive CI builds.<br><br>A) GitHub Actions paths-ignore filter on pull_request trigger<br>B) Run all builds and waste resources<br>C) Require manual workflow dispatch","A) GitHub Actions paths-ignore filter on pull_request trigger","paths-ignore prevents workflow execution when only specified paths change, optimizing CI costs. Running all builds wastes resources. Manual dispatch removes automation benefits. Path filtering is the built-in CI optimization for monorepos and documentation changes.","GH-300 CICD Optimization"
"Your security policy requires that GitHub personal access tokens expire after 90 days maximum, with automatic enforcement preventing creation of longer-lived tokens.<br><br>A) Organization security policy setting maximum token lifetime<br>B) Email reminders to users<br>C) Manual token audits","A) Organization security policy setting maximum token lifetime","Organization policies enforce maximum token expiration, preventing users from creating longer-lived tokens. Email reminders rely on user compliance. Manual audits are point-in-time. Policy enforcement proactively limits credential lifetime risk at the identity provider level.","GH-300 Security TokenManagement"
"A GitHub Enterprise environment must support custom branding with company logo, color scheme, and custom domain for GitHub Pages sites.<br><br>A) GitHub Enterprise with custom branding settings and GitHub Pages custom domain<br>B) GitHub.com with organization profile<br>C) Self-hosted Git server with custom UI","A) GitHub Enterprise with custom branding settings and GitHub Pages custom domain","GitHub Enterprise supports custom logos, colors, navigation customization, and Pages custom domains. GitHub.com org profiles have limited customization. Self-hosted servers require maintaining custom UI. Enterprise provides managed custom branding capabilities.","GH-300 Administration Branding"
"A CI/CD pipeline must deploy to production only during a specified maintenance window (Saturday 00:00-04:00 UTC) with automated approval workflow outside the window.<br><br>A) GitHub Actions with schedule triggers and conditional deployment logic based on time<br>B) Manual deployment timing<br>C) Disable workflows outside maintenance window","A) GitHub Actions with schedule triggers and conditional deployment logic based on time","Actions can evaluate current time, conditionally run deployment steps during window, or wait/require approval outside window. Manual deployment risks errors. Disabling workflows loses flexibility. Time-based conditionals enable maintenance window enforcement in automation.","GH-300 CICD DeploymentControl"
"Your organization needs GitHub Copilot deployed to 500 developers with usage analytics showing code acceptance rates and language distribution.<br><br>A) GitHub Copilot for Business with organization-level analytics dashboard<br>B) GitHub Copilot Individual for each developer<br>C) No usage tracking","A) GitHub Copilot for Business with organization-level analytics dashboard","Copilot for Business provides centralized billing, policy management, and usage analytics showing suggestions, acceptances, and languages. Individual licenses lack org-level analytics. No tracking prevents ROI measurement. Business tier is the enterprise AI coding assistant deployment model.","GH-300 AITools UsageAnalytics"
