Front,Back,Extra,Tags
"Your company needs to deploy a containerized Python application that scales based on HTTP traffic from 0 to 50 instances. The solution must support blue-green deployments and minimize operational overhead.<br><br>A) Azure Kubernetes Service with KEDA autoscaler<br>B) Azure Container Apps with HTTP scale rule and revision management<br>C) Azure Container Instances with Azure Front Door","B) Azure Container Apps with HTTP scale rule and revision management","Container Apps provides built-in HTTP-based autoscaling (including scale-to-zero), native revision management for blue-green deployments, and is fully managed. AKS requires cluster management overhead. ACI doesn't natively autoscale based on HTTP traffic. Container Apps is purpose-built for microservices with minimal ops complexity.","AZ-204 Compute Containers"
"An application must run scheduled data processing tasks every 6 hours. Each task processes 50GB of data and takes 3 hours to complete. The solution must minimize costs when idle.<br><br>A) Azure Functions with timer trigger on Consumption plan<br>B) Azure Container Apps with cron scale rule<br>C) Azure Batch with scheduled jobs","B) Azure Container Apps with cron scale rule","Container Apps supports cron-based scheduling with scale-to-zero between runs and no execution time limits. Functions Consumption has 5-minute timeout (10-minute max). Batch is ideal for HPC workloads but more complex. Container Apps provides serverless containers with flexible scheduling and long-running task support.","AZ-204 Compute Containers"
"Your organization needs to build container images from Dockerfile in a CI/CD pipeline without managing Docker hosts. Images must be scanned for vulnerabilities automatically.<br><br>A) Azure Container Registry with ACR Tasks and Microsoft Defender integration<br>B) Docker Hub with manual vulnerability scanning<br>C) Azure DevOps with self-hosted agents running Docker","A) Azure Container Registry with ACR Tasks and Microsoft Defender integration","ACR Tasks builds images directly in Azure without Docker hosts (cloud-native builds), integrates with Microsoft Defender for vulnerability scanning. Docker Hub requires external service. Self-hosted agents need infrastructure management. ACR provides integrated build + security scanning in Azure-native workflow.","AZ-204 Compute Containers"
"An application published to Azure Container Registry requires images to be automatically rebuilt when base images are updated for security patches.<br><br>A) Configure ACR Tasks with base image update triggers<br>B) Use GitHub Actions with scheduled builds<br>C) Enable Azure Security Center recommendations","A) Configure ACR Tasks with base image update triggers","ACR Tasks monitors base image updates and automatically triggers rebuilds when dependencies change, ensuring containers stay patched. GitHub Actions requires manual scheduling (may miss critical patches). Security Center provides recommendations but doesn't rebuild. ACR Tasks automates base image dependency tracking and rebuilds.","AZ-204 Compute Containers"
"Your containerized API must expose environment-specific configuration and connect to Azure SQL Database using managed identity. The container runs in Azure Container Instances.<br><br>A) Pass configuration via environment variables and use DefaultAzureCredential in SDK<br>B) Mount Azure Files share with configuration files<br>C) Store configuration in Docker image layers","A) Pass configuration via environment variables and use DefaultAzureCredential in SDK","Environment variables are standard for container configuration; DefaultAzureCredential automatically uses ACI's managed identity. Mounting files adds complexity. Baking config into images violates 12-factor app principles and requires rebuilds for changes. Environment variables + managed identity is the cloud-native pattern.","AZ-204 Compute Containers"
"A containerized microservice must be deployed with sidecar containers for logging and service mesh capabilities. The solution must support Kubernetes APIs.<br><br>A) Azure Kubernetes Service with sidecar pattern<br>B) Azure Container Apps with Dapr sidecars<br>C) Azure Container Instances with container groups","B) Azure Container Apps with Dapr sidecars","Container Apps supports Kubernetes-compatible APIs with built-in Dapr sidecar support for microservices patterns. While AKS fully supports sidecars, Container Apps provides this with less operational complexity. ACI container groups support multi-container deployments but lack advanced microservices features. Container Apps balances Kubernetes compatibility with managed simplicity.","AZ-204 Compute Containers"
"Your organization needs to pull container images from private registries during Azure Container Instances deployments. Images contain proprietary code.<br><br>A) Configure ACI with registry credentials using Azure Key Vault reference<br>B) Use public registry with authentication tokens<br>C) Enable anonymous pull access on registry","A) Configure ACI with registry credentials using Azure Key Vault reference","ACI supports private registry authentication using credentials stored securely in Key Vault. Public registries expose proprietary images. Anonymous access removes security. Key Vault reference pattern secures registry credentials while allowing ACI to authenticate to private registries.","AZ-204 Compute Containers"
"A multi-container application with web frontend and API backend must share persistent storage for uploaded files. Both containers need read-write access.<br><br>A) Azure Container Instances with Azure Files volume mount in container group<br>B) Azure Container Apps with multiple replicas sharing Blob Storage<br>C) Azure Kubernetes Service with persistent volume claims","A) Azure Container Instances with Azure Files volume mount in container group","ACI container groups allow multiple containers to share volumes (Azure Files supports read-write). Container Apps replicas don't share local storage. While AKS supports PVCs, ACI container groups provide simpler multi-container shared storage for this scenario. Container groups enable sidecar patterns with shared ephemeral or persistent volumes.","AZ-204 Compute Containers"
"Your company deploys container images tagged with Git commit SHAs. Developers need to easily identify the latest production image.<br><br>A) Use ACR repository tags with 'latest' and immutable commit SHA tags<br>B) Store image information in Azure Table Storage<br>C) Use only 'latest' tag for all deployments","A) Use ACR repository tags with 'latest' and immutable commit SHA tags","ACR supports multiple tags per image; use immutable SHA tags for traceability and mutable tags like 'latest' for convenience. Table Storage is external overhead. Using only 'latest' loses version history. Multi-tagging strategy combines traceability (SHA) with convenience (latest) while maintaining immutable audit trail.","AZ-204 Compute Containers"
"An Azure App Service application must implement health checks to remove unhealthy instances from load balancer rotation automatically.<br><br>A) Configure Health Check path in App Service settings with Load Balancing enabled<br>B) Use Application Insights availability tests<br>C) Implement custom logging with Azure Monitor alerts","A) Configure Health Check path in App Service settings with Load Balancing enabled","App Service Health Check monitors endpoint and automatically removes unhealthy instances from load balancer. Availability tests monitor externally but don't trigger instance removal. Custom logging requires manual intervention. Health Check provides automatic instance health monitoring and load balancer integration.","AZ-204 Compute AppService"
"Your App Service application logs must be retained for 90 days for compliance auditing. Logs include application traces, web server logs, and detailed error messages.<br><br>A) Enable App Service diagnostics logs with Azure Storage archive and 90-day retention policy<br>B) Configure Log Analytics workspace with 90-day retention<br>C) Use Application Insights with continuous export","A) Enable App Service diagnostics logs with Azure Storage archive and 90-day retention policy","App Service diagnostics can send logs to Storage with lifecycle management policies for cost-effective long-term retention. Log Analytics has retention costs. App Insights is for telemetry not comprehensive logging. Storage-based archival with lifecycle policies optimizes costs for compliance retention requirements.","AZ-204 Compute AppService"
